srcIP,dstIp,srcPort,dstPort,numPackets,totalSize
204.14.234.85,192.168.3.131,80,57229,2,120
192.168.3.131,204.14.234.85,57229,80,2,108
66.235.136.89,192.168.3.131,8443,57250,5,1014
192.168.3.131,66.235.136.89,57250,8443,8,5656
204.14.234.101,192.168.3.131,8443,57231,5,3413
192.168.3.131,192.168.3.1,58673,53,2,178
192.168.3.131,192.168.3.1,60629,53,2,156
204.14.234.101,192.168.3.131,443,57231,5,3413
192.168.3.131,204.14.234.101,57231,443,6,3464
192.168.3.131,204.14.234.85,57249,443,7,4472
192.168.3.131,66.235.136.89,57250,443,8,5656
172.16.255.1,172.16.0.1,63805,5351,2,108
204.9.163.158,172.16.255.1,80,10714,5,581
172.16.255.1,204.9.163.158,10714,80,5,347
70.37.129.34,10.0.2.15,5480,2554,10,6941
70.37.129.34,10.0.2.15,5480,2553,11,7395
207.46.216.54,192.168.3.131,5480,57191,1,60
192.168.3.131,207.46.216.54,57191,5480,2,108
207.46.216.54,192.168.3.131,80,57191,1,60
192.168.3.131,207.46.216.54,57191,80,2,108
10.0.2.15,70.37.129.32,2552,5480,10,1372
172.16.255.1,67.215.65.132,10705,445,3,194
204.9.163.166,192.168.3.131,80,58831,4,458
192.168.3.131,204.9.163.166,58831,80,5,581
192.168.3.131,208.82.236.129,58830,80,5,878
204.14.234.85,192.168.3.131,8443,57248,59,55038
204.14.234.85,192.168.3.131,8443,57247,44,36432
192.168.3.131,204.14.234.85,57247,8443,36,23898
204.14.234.85,192.168.3.131,443,57248,59,55038
204.14.234.85,192.168.3.131,443,57247,44,36432
70.37.129.34,10.0.2.15,5480,2551,11,7689
208.50.77.97,192.168.3.131,5480,57174,1,60
65.55.206.9,192.168.3.131,5480,57176,1,60
65.55.15.244,192.168.3.131,5480,57180,1,60
192.168.3.131,65.55.206.9,57176,5480,2,108
192.168.3.131,65.55.15.244,57180,5480,2,108
208.50.77.97,192.168.3.131,80,57174,1,60
65.55.206.9,192.168.3.131,80,57176,1,60
192.168.3.131,208.50.77.97,57174,80,2,108
192.168.3.131,65.55.206.9,57176,80,2,108
192.168.3.131,65.55.15.244,57180,80,2,108
204.14.234.85,192.168.3.131,8443,57245,73,72711
10.0.2.15,70.37.129.34,2553,5480,9,1369
192.168.3.131,204.14.234.85,57246,8443,48,34093
204.14.234.85,192.168.3.131,443,57246,59,45356
204.14.234.85,192.168.3.131,443,57245,73,72711
192.168.3.131,204.14.234.85,57246,443,48,34093
69.126.180.28,172.16.255.1,443,50983,1,68
67.64.157.145,172.16.255.1,58164,50983,1,68
172.16.255.1,188.17.181.29,50983,443,1,60
172.16.255.1,66.209.190.84,50983,7457,1,70
172.16.255.1,67.84.50.244,50983,37499,1,60
172.16.255.1,188.163.1.229,50983,50709,1,60
172.16.255.1,67.64.157.145,50983,58164,1,60
204.9.163.166,192.168.3.131,80,58795,5,518
192.168.3.131,204.9.163.166,58795,80,6,635
192.168.3.131,208.82.236.130,58794,80,7,833
208.82.236.130,192.168.3.131,80,58793,9,8002
192.168.3.131,204.14.234.85,57229,5480,2,108
192.168.3.131,208.82.236.130,58793,80,6,779
209.17.73.30,192.168.3.131,80,58789,144,210117
114.46.144.25,172.16.255.1,29080,50983,1,60
192.168.3.131,72.14.213.102,52207,443,6,518
192.168.3.131,206.108.207.163,56049,80,4,768
10.0.2.15,65.54.189.173,2528,1863,43,7341
64.4.9.254,10.0.2.15,1863,2527,9,757
65.54.186.19,10.0.2.15,443,2526,33,21949
66.235.139.121,192.168.3.131,80,56401,5,1701
10.0.2.15,64.4.9.254,2527,1863,8,580
10.0.2.3,10.0.2.15,53,49796,2,868
192.168.3.131,255.255.255.255,68,67,1,342
10.0.2.15,65.54.186.19,2526,443,21,5800
192.168.3.131,208.50.77.136,57121,5480,2,108
10.0.2.15,10.0.2.3,49796,53,2,162
184.85.226.161,172.16.255.1,443,10691,6,1015
172.16.255.1,88.203.161.148,50983,13899,1,82
192.168.3.131,65.54.95.68,56255,80,7,1050
192.168.3.131,72.14.213.103,57880,80,2,108
65.54.95.142,192.168.3.131,80,55973,26,34632
172.16.255.1,130.117.72.100,10638,443,170,9525
65.54.95.39,192.168.3.131,80,56059,12,7352
192.168.3.131,65.54.95.39,56326,80,9,1548
192.168.3.131,65.54.95.68,56406,80,10,3360
192.168.3.131,208.82.236.130,58417,80,8,887
192.168.3.131,208.82.236.129,58304,80,6,891
172.16.255.1,204.9.163.184,10637,443,10,1149
72.14.213.103,192.168.3.131,80,57896,2,120
172.16.255.1,184.85.226.161,10647,443,45,18331
212.8.166.36,172.16.255.1,443,10636,27,4547
192.168.3.131,66.235.139.121,56494,80,3,174
72.14.213.103,192.168.3.131,80,57882,2,120
65.54.95.75,192.168.3.131,80,56090,8,3850
192.168.3.131,174.36.30.111,49206,80,1,242
192.168.3.131,72.14.213.102,52209,443,6,813
130.117.72.100,172.16.255.1,443,10638,354,508537
192.168.3.131,206.108.207.155,56169,80,5,282
72.14.213.103,192.168.3.131,80,57884,2,120
192.168.3.131,66.235.139.121,56161,80,3,174
192.168.3.131,74.125.127.148,57213,5480,2,108
65.54.95.75,192.168.3.131,80,56477,7,3488
172.16.255.1,212.8.166.36,10636,443,23,2708
10.0.2.15,70.37.129.34,2551,80,9,1339
192.168.3.131,72.14.213.103,57881,80,2,108
204.14.234.85,192.168.3.131,443,57244,121,116371
10.0.2.15,96.17.8.49,2547,5480,9,989
72.14.213.103,192.168.3.131,80,57881,2,120
72.14.213.103,192.168.3.131,80,57893,2,120
172.16.255.1,189.126.44.128,50983,3192,1,74
172.16.255.1,208.88.186.244,50983,13392,2,231
65.55.116.184,10.0.2.15,5480,2549,5,718
192.168.3.131,72.14.213.103,57886,80,2,108
87.121.79.141,172.16.255.1,29347,50983,2,212
192.168.3.131,204.14.234.85,57244,8443,94,57158
72.14.213.103,192.168.3.131,80,57898,2,120
192.168.3.131,72.14.213.103,57892,80,2,108
192.168.3.131,72.14.213.132,52402,443,13,1734
72.14.213.103,192.168.3.131,80,57892,2,120
10.0.2.3,10.0.2.15,53,59686,2,392
72.14.213.103,192.168.3.131,80,57883,2,120
72.14.213.103,192.168.3.131,80,57894,2,120
72.14.213.103,192.168.3.131,80,57895,2,120
172.16.255.1,218.173.246.133,50983,21363,1,74
172.16.255.1,213.146.189.205,10688,443,13,1317
72.14.213.103,192.168.3.131,80,57899,2,120
79.143.161.140,172.16.255.1,32575,50983,2,529
178.25.111.25,172.16.255.1,33453,50983,2,121
172.16.255.1,213.64.95.196,50983,7892,1,74
192.168.3.131,204.14.234.85,57248,8443,33,23715
65.54.95.75,192.168.3.131,80,56213,5,467
94.248.101.181,172.16.255.1,38685,50983,1,62
72.14.213.103,192.168.3.131,80,57891,2,120
92.255.161.104,172.16.255.1,43708,50983,2,121
212.50.66.122,172.16.255.1,52091,50983,1,62
172.16.255.1,87.121.79.141,50983,29347,2,138
192.168.3.131,204.14.234.85,57248,443,33,23715
172.16.255.1,217.174.56.245,50983,8395,2,534
208.82.236.129,192.168.3.131,80,58265,8,7104
70.37.129.34,10.0.2.15,80,2551,11,7689
190.213.76.21,172.16.255.1,62669,50983,1,60
192.168.3.131,65.54.95.75,56175,80,9,2555
124.144.10.123,172.16.255.1,50583,50983,1,60
208.82.236.129,192.168.3.131,80,58416,5,3082
172.16.255.1,80.221.22.161,50983,30425,1,76
192.168.3.131,65.54.95.68,56092,80,7,1050
2.120.66.172,172.16.255.1,23852,50983,1,68
72.14.213.120,192.168.3.131,443,52497,9,5025
192.168.3.131,76.74.140.168,56499,80,5,1529
208.50.77.73,192.168.3.131,80,57150,1,60
172.16.255.1,89.34.75.134,50983,23924,2,541
172.16.255.1,92.247.222.20,50983,25987,6,1599
172.16.255.1,10.1.1.2,10694,50023,1,66
172.16.255.1,65.35.35.4,50983,34467,2,534
65.54.189.173,10.0.2.15,1863,2528,63,18271
65.54.95.75,192.168.3.131,80,56456,8,5173
65.54.95.75,192.168.3.131,80,56408,5,467
87.5.175.49,172.16.255.1,42341,50983,3,1188
208.50.77.134,192.168.3.131,5480,57204,1,60
